W/L,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,O-FG,O-FGA,O-FG%,O-3P,O-3PA,O-3P%,O-FT,O-FTA,O-FT%,O-ORB,O-TRB,O-AST,O-STL,O-BLK,O-TOV,O-PF
W,49,96,0.51,12,30,0.4,10,13,0.769,12,52,31,8,4,16,16,38,88,0.432,12,35,0.343,10,16,0.625,9,40,22,9,4,17,11
W,49,83,0.59,13,24,0.542,16,19,0.842,5,38,28,6,1,13,20,43,94,0.457,18,43,0.419,17,19,0.895,15,41,26,8,2,11,18
L,43,91,0.473,12,31,0.387,13,17,0.765,10,40,28,9,4,16,17,46,87,0.529,13,28,0.464,17,21,0.81,9,45,25,9,6,15,18
W,47,83,0.566,12,30,0.4,16,18,0.889,5,42,28,7,5,14,19,38,87,0.437,5,23,0.217,18,26,0.692,10,39,15,11,0,10,17
L,45,85,0.529,15,36,0.417,14,19,0.737,9,47,29,6,6,22,30,44,93,0.473,11,34,0.324,24,35,0.686,11,38,22,14,4,12,16
W,43,86,0.5,14,27,0.519,13,17,0.765,6,40,29,8,1,18,19,37,79,0.468,13,35,0.371,14,18,0.778,5,39,22,8,6,19,19
W,42,87,0.483,9,32,0.281,18,23,0.783,9,51,30,7,6,10,24,35,85,0.412,5,25,0.2,19,28,0.679,7,41,20,3,2,11,18
W,45,91,0.495,12,37,0.324,8,9,0.889,8,39,29,5,6,6,18,36,86,0.419,13,36,0.361,15,17,0.882,17,50,23,3,4,13,13
L,40,90,0.444,11,33,0.333,20,22,0.909,10,47,22,9,3,8,15,42,90,0.467,13,37,0.351,15,19,0.789,9,49,18,3,5,11,18
W,43,90,0.478,9,36,0.25,9,9,1,9,47,26,4,3,13,16,37,90,0.411,12,45,0.267,14,16,0.875,7,38,20,5,4,10,17
W,34,96,0.354,8,40,0.2,25,29,0.862,21,50,17,15,2,14,17,34,85,0.4,13,43,0.302,16,23,0.696,16,52,16,8,3,20,23
W,45,88,0.511,12,32,0.375,15,18,0.833,11,49,27,6,1,13,14,41,85,0.482,13,32,0.406,15,21,0.714,6,36,30,9,1,7,17
W,46,81,0.568,11,25,0.44,18,24,0.75,4,32,29,6,7,9,21,43,99,0.434,11,33,0.333,19,21,0.905,18,50,27,6,4,9,20
W,54,90,0.6,15,33,0.455,17,21,0.81,6,41,36,12,8,10,20,35,89,0.393,15,38,0.395,18,23,0.783,11,38,19,6,3,16,17
